"host_response_time","host_acceptance_rate","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_since_days","log_price"
"N/A",37,"f",2,"t","t","Hawaii","Entire home/apt",2,1,NA,1,85,2,700,2,2,700,700,2,700,30,60,90,365,42,5,0,92,9,9,10,9,9,10,"f",2,2,0,0,0.45,4339,4.44265125649032
"within a few hours",95,"f",4,"t","t","Hawaii","Entire home/apt",2,1,1,1,115,30,200,30,30,200,200,30,200,0,0,20,261,10,1,0,87,10,8,10,10,10,10,"f",4,4,0,0,0.09,4330,4.74493212836325
"within a few hours",97,"f",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,85,5,60,5,5,1125,1125,5,1125,0,0,20,263,168,8,0,93,9,9,10,10,10,9,"t",3,3,0,0,1.29,4326,4.44265125649032
"within a few hours",97,"f",3,"t","t","Hawaii","Entire home/apt",6,3,3,4,239,6,180,6,6,1125,1125,6,1125,25,49,54,266,20,4,0,97,10,10,10,10,10,10,"f",3,3,0,0,0.24,4326,5.47646355193151
"within a few hours",93,"f",2,"t","t","Kauai","Entire home/apt",4,1,NA,1,92,3,28,3,3,28,28,3,28,11,12,20,66,143,18,0,88,10,9,10,10,10,9,"f",1,1,0,0,1.02,4325,4.52178857704904
"within an hour",99,"t",2,"t","t","Kauai","Entire home/apt",6,3,3,4,290,2,730,2,5,730,730,2.2,730,0,6,36,306,107,5,0,95,10,9,10,10,10,9,"f",2,2,0,0,0.79,4323,5.66988092298052
"within a day",0,"f",1,"t","t","Maui","Entire home/apt",4,2,1,4,120,4,365,4,4,365,365,4,365,30,60,90,352,28,0,0,90,10,9,10,10,9,9,"f",1,1,0,0,0.23,4203,4.78749174278205
"within a few hours",98,"f",1,"t","t","Hawaii","Entire home/apt",4,2,2,3,98,3,365,3,3,1125,1125,3,1125,0,0,0,210,230,15,0,89,9,9,10,10,10,9,"f",1,1,0,0,1.85,4206,4.58496747867057
"within a few hours",86,"t",1,"t","t","Hawaii","Entire home/apt",4,1,2,2,120,3,90,3,3,90,90,3,90,1,1,1,1,28,6,0,99,10,10,10,10,10,10,"f",1,1,0,0,0.49,4136,4.78749174278205
"within an hour",100,"f",2,"t","f","Kauai","Entire home/apt",3,1,NA,1,129,3,730,3,3,1125,1125,3,1125,5,23,48,323,112,9,0,86,9,9,10,10,10,9,"t",2,2,0,0,1.48,4061,4.85981240436167
